Rank, Name, Weight Class, Record,Age,Fighting Style,Company,Country,Nickname
1, Vadim Nemkov, Light Heavyweight, 11-2,27,Wrestling,Bellator,Russia,Unknown
2, Lance Palmer, Featherweight, 22-3,32,Wrestling,PFL,USA,Unknown
3, A.J. McKee, Featherweight, 16-0,25,Wrestling,Bellator,USA,Unknown
4, Natan Schulte, Lightweight, 20-3-1,28,Jiu-Jitsu,PFL,Brazil,Russo
5, Darrion Caldwell, Featherweight, 15-3,32,Wrestling,Bellator,USA,Unknown
6, Jiri Prochazka, Light Heavyweight, 26-3-1,27,Boxing,UFC,Czech republic,Unknown
7, Valentin Moldavsky, Heavyweight, 10-1,28,"Sambo, MMA",Bellator,Russia,Unknown
8, Abdul-Aziz Abdulvakhabov, Lightweight, 18-2,31,Wrestling,ACA,Russia,Lion
9, Tomasz Narkun, Light Heavyweight, 18-3,30,Jiu-Jitsu,KSW,Poland,Giraffe
10, Pedro Carvalho, Featherweight, 11-4,24,Jiu-Jitsu,Bellator,Portugal,The Game
11, Michael Page, Welterweight, 17-1,33,"Kickboxing, Karate",Bellator,England,Venom
12, Kai Asakura, Bantamweight, 15-2,26,"Boxing, Karate",Rizin,Japan,Unknown
13, Juan Archuleta, Featherweight, 24-2,32,"Wrestling, Boxing",Bellator,USA,Spaniard
14, Martin Nguyen, Featherweight, 13-3,31,MMA,ONE ,Australia,The Situ-asian
15, Mukhamed Berkhamov, Welterweight, 14-1,26,Wrestling,ACA,Russia,Unknown
16, Anatoly Tokov, Middleweight, 29-3,30,Sambo,Bellator,Russia,Unknown
17, Christian Lee, Lightweight, 13-3,21,"Taekwondo, BJJ, Wrestling, Muay Thai",ONE ,Canada,The Warrior
18, Salahdine Parnasse, Featherweight, 14-0-1,22,"Wrestling, Kickboxing",KSW,France,Unknown
19, Loik Radzhabov, Lightweight, 14-2-1,29,Wrestling,PFL,Tajikistan,Jaguar Paw
20, Chris Honeycutt, Middleweight, 12-3,31,Wrestling,Bellator,USA,The Cutt
21, Logan Storley, Welterweight, 11-0,27,Wrestling,Bellator,USA,Storm
22, Yaroslav Amosov, Welterweight, 23-0,26,Sambo,Bellator,Ukraine,Dynamo
23, Roberto Soldic, Welterweight, 17-3,25,Boxing,KSW,Croatia,Robocop
24, Magomed Ismailov, Middleweight, 16-2-1,33,"Sambo, Wrestling",ACA,Russia,Unknown
25, Adam Piccolotti, Lightweight, 12-4,31,Jiu-Jitsu,Bellator,USA,The Bomb
26, Salman Zhamaldaev, Featherweight, 18-2,31,Wrestling,ACA,Russia,Zloy
27, James Nakashima, Welterweight, 12-1,31,"Kickboxing, Boxing, MMA",ONE ,USA,Nako
28, Andre Harrison, Featherweight, 21-2-1,32,Kickboxing,PFL,USA,The Bull
29, Timur Valiev, Bantamweight, 16-2,30,"Kickboxing, Thai Boxing",UFC,Russia,The Lucky
30, Amir Aliakbari, Heavyweight, 10-1,32,Wrestling,ONE ,Iran,Unknown
31, Neiman Gracie, Middleweight, 10-1,31,Jiu-Jitsu,Bellator,Brazil,Unknown
32, Jarrah Hussein Al-Silawi, Welterweight, 15-3,0,MMA,BCF,Jordan,The Jordanian Lion 
33, Ivan Shtyrkov, Light Heavyweight, 17-2,32,Sambo,UFC,Russia,Ural Hulk
34, Artem Frolov, Middleweight, 14-3,28,Boxing,ACA,Russia,Unknown
35, Mikuru Asakura, Featherweight, 13-1,27,"Boxing, Karate",Rizin,Japan,Unknown
36, Shavkat Rakhmonov, Lightweight, 12-0,25,Sambo,UFC,Uzbekistan,Nomad
37, Yusuf Raisov, Lightweight, 16-1,24,Jiu-Jitsu,ACA,Russia,Borz
38, Rashid Yusupov, Light Heavyweight, 12-3,28,Wrestling,PFL,Russia,Unknown
39, Adam Borics, Featherweight, 16-1,26,Wrestling,Bellator,Unknown,The Kid
40, Abubakar Vagaev, Welterweight, 19-3,27,Wrestling,ACA,Russia,Unknown
41, Handesson Ferreira, Welterweight, 14-3-1,32,Wrestling,PFL,Brazil,Boy Doido
42, Islam Mamedov, Lightweight, 19-1-1,30,Wrestling,UAE Warriors,Russia,Unknown
43, Derek Anderson, Lightweight, 16-3,30,MMA,Bellator,USA,The Barbaric
44, Anton Vyazigin, Heavyweight, 15-3,0,MMA,Leon Warriors,Russia,Cherepovets Giant
45, Sharaf Davlatmurodov, Middleweight, 16-3-1,28,MMA,UOMMA,Tajikistan,Wolfhound
46, Nasrudin Nasrudinov, Light Heavyweight, 9-0,28,Wrestling,ACA,Russia,Unknown
47, Vladimir Mineev, Middleweight, 13-1-1,30,Kickboxing,WKN,Russia,Unknown
48, Patrick Mix, Bantamweight, 13-0,26,"Wrestling, Jiu-Jitsu",Bellator,USA,No Love
49, Soren Bak, Lightweight, 13-1,27,"Wrestling, Thai Boxing",CWFC,Unknown,The True Viking
50, Khusein Khaliev, Lightweight, 19-2,31,Wrestling,ACA,Russia,Captain
